concept,category,domain,hit_visual,hit_lexical,far_lexical,far_visual,Energy,JPEG_size,PNWS,H,S,V,layer3,layer6,layer8,coca_frequency,name_agreement,NoF_noTax,CS,MD,CSxD
shopping bag,tool,nonliving,0.326531,0.555556,0.461538462,0.24137931,3,8717,0.44926,0.13918,0.22091,89.7409,1.0971,1.8267,1.9168,347,0.375,38,0.13311,0.091459261,1.999401176
shopping cart,street items,nonliving,0.611111,0.461538,0.488372093,0.555555556,62,17022,0.44943,0.13922,0.22076,89.7434,0.88276,1.5475,1.9477,1,1,36,0.14676,0.091512186,1.965923504
shoulder,body parts,living,0.829787,0.666667,0.12,0.115384615,4,7043,0.5131,0.13912,0.22079,89.7756,1.1135,1.8641,1.6434,42843,1,41,0.17324,0.089777483,1.937339171
shovel,tool,nonliving,0.488889,0.555556,0.72,0.581818182,14,4498,0.40573,0.13902,0.22093,89.7817,1.3128,2.0831,1.8749,2654,0.958333333,33,0.13205,0.085382295,1.696559804
shower,house parts,nonliving,0.46,0.392857,0.185185185,0.178571429,40,4845,0.37318,0.13905,0.22072,89.782,1.3279,1.9243,2.0024,9624,0.333333333,50,0.15898,0.112812043,2.120281203
shrimp,sea,living,0.890909,0.769231,0.441860465,0.363636364,7,9002,0.32344,0.13891,0.22085,89.7961,1.0025,1.6942,2.0708,6631,0.958333333,37,0.15909,0.065405102,1.69543509
shrimp dinner,food,nonliving,0.58,0.470588,0.344827586,0.085714286,8,14954,0.62851,0.13898,0.2209,89.8321,0.9538,1.3535,1.9781,4,0.041666667,29,0.18612,0.120799123,2.612899784
shuttlecock,sports,nonliving,0.388889,0.423077,0.285714286,0.12244898,11,9240,0.49671,0.1389,0.2207,89.8201,1.1474,1.8987,1.9405,1271,0.708333333,41,0.13584,0.109141116,1.827450815
sickle,tool,nonliving,0.306122,0.333333,NA,0.305555556,10,5327,0.1536,0.13882,0.22051,89.7413,1.1827,1.8786,2.0242,637,0.666666667,32,0.13788,0.05246212,0.914862369
sidetable,furniture,nonliving,0.44898,0.558824,0.551724138,0.2,17,7686,0.26441,0.1387,0.2204,89.6817,1.1018,1.3505,1.9248,1,0.166666667,45,0.13288,0.092788804,2.214218871
sidewalk,street items,nonliving,0.8,0.387097,NA,0.166666667,13,9280,0.69337,0.13867,0.22028,89.765,1.2273,1.8727,2.0663,7668,0.958333333,36,0.15924,0.095648686,1.632212108
silo,building,nonliving,0.52,0.321429,0.321428571,0.344827586,25,13741,0.65311,0.13864,0.22024,89.8031,1.0786,1.5473,2.0956,564,0.25,43,0.14947,0.095660288,1.859360395
skateboard,sports,nonliving,0.413793,0.642857,0.444444444,0.2,5,5478,0.22352,0.13856,0.22016,89.7444,1.1656,1.6366,2.1109,539,0.541666667,34,0.14174,0.073354312,1.798333489
